Start Date,Overs,Mdns,Runs,Wkts
22-Feb-03,47.1,6,212,9
22-Feb-03,81,6,371,18
23-Feb-03,63.2,4,400,11
23-Feb-03,92.3,5,438,12
24-Feb-03,95,8,349,19
24-Feb-03,97.3,5,486,11
25-Feb-03,89.3,7,383,17
26-Feb-03,83.3,3,392,10
26-Feb-03,95.3,5,408,17
27-Feb-03,64,7,334,15
27-Feb-03,100,14,381,13
28-Feb-03,100,9,492,16
28-Feb-03,100,6,439,12
01-Mar-03,97.2,3,394,17
01-Mar-03,95.4,0,536,10
02-Mar-03,99.4,8,401,15
03-Mar-03,70,5,389,14
03-Mar-03,96.5,2,553,14
03-Mar-03,95,2,491,12
04-Mar-03,14,1,66,3
04-Mar-03,85.5,6,347,17
07-Mar-03,97.4,4,524,12
07-Mar-03,97.5,8,434,9
08-Mar-03,97.2,5,491,9
10-Mar-03,73,5,382,16
11-Mar-03,80.1,12,315,19
12-Mar-03,70.1,6,263,11
14-Mar-03,85.5,11,291,13
15-Mar-03,91.5,1,430,15
15-Mar-03,81.2,12,337,13
18-Mar-03,88.1,7,327,13
20-Mar-03,96.2,9,425,12
23-Mar-03,89.2,1,571,11
03-Apr-03,94.1,7,478,14
04-Apr-03,97.2,4,434,6
05-Apr-03,99,7,446,11
06-Apr-03,87.5,8,379,15
07-Apr-03,97.5,8,386,16
08-Apr-03,81.4,6,426,16
10-Apr-03,84.3,3,331,12
11-Apr-03,77,6,342,20
13-Apr-03,84.5,3,448,13
14-Apr-03,99.3,2,490,12
16-Apr-03,92.3,4,408,14
17-Apr-03,99,9,423,15
18-Apr-03,97.5,6,428,14
21-Apr-03,17.1,3,44,3
10-May-03,93.1,7,307,14
11-May-03,70.4,10,222,13
13-May-03,86.5,12,256,13
17-May-03,87,5,467,12
18-May-03,97.3,9,321,17
18-May-03,84.1,7,313,12
19-May-03,99.1,20,292,15
20-May-03,98.1,5,379,19
21-May-03,100,5,486,9
23-May-03,95.2,9,379,13
24-May-03,95.3,3,488,12
25-May-03,100,3,514,14
30-May-03,98.4,8,479,15
01-Jun-03,93.3,2,491,8
07-Jun-03,89.4,8,345,17
08-Jun-03,99.3,6,617,6
11-Jun-03,86.5,3,343,12
17-Jun-03,99.2,7,397,15
20-Jun-03,66,5,364,12
22-Jun-03,98.3,6,430,13
26-Jun-03,98,9,381,12
28-Jun-03,95.5,4,515,9
29-Jun-03,100,8,492,13
01-Jul-03,16.3,0,74,3
03-Jul-03,97.3,8,425,9
05-Jul-03,84.2,9,344,9
06-Jul-03,42.4,5,179,14
08-Jul-03,89,8,390,15
10-Jul-03,85.2,11,340,11
12-Jul-03,52.3,7,216,13
02-Aug-03,56.3,6,211,11
03-Aug-03,65.3,3,293,10
06-Aug-03,97.3,13,378,14
09-Sep-03,93.2,8,495,9
12-Sep-03,92.1,3,407,18
15-Sep-03,94,6,451,16
18-Sep-03,99.5,3,433,11
21-Sep-03,100,3,540,9
03-Oct-03,100,6,534,9
05-Oct-03,100,4,475,12
07-Oct-03,95,1,459,14
